file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
kaydasheva_s001821,0.0,16.9498125,corpus,-45.069575036873154,-46.57339326212229,24.139540375821547,19.092547876096035
kaydasheva_s002179,0.0,16.8818125,corpus,-46.289479043246445,-47.0924105773101,23.204476802951028,18.534424524102707
kaydasheva_s002191,0.0,12.3698125,corpus,-47.12623787388844,-47.76827856551769,23.157582914297905,13.515194557455152
kaydasheva_s000193,0.0,16.5198125,corpus,-49.41452122427361,-49.84250071428824,21.99972230960362,4.128531297817172
kaydasheva_s002047,0.0,12.3298125,corpus,-48.29298142234388,-54.018367726752096,19.99472094280579,16.36687706583445
kaydasheva_s000190,0.0,11.7698125,corpus,-43.081642948173325,-44.16686481540486,17.989671772434814,11.581926915736187
kaydasheva_s000048,0.0,14.6698125,corpus,-48.68029993183367,-51.99311337705518,17.955924000846537,7.156166237389785
kaydasheva_s000509,0.0,15.7878125,corpus,-44.87739965959468,-45.77762222290039,17.793317558700252,17.438110398439647
kaydasheva_s000014,0.0,17.1408125,corpus,-46.04029317386231,-48.174743787616706,17.231207340162147,17.574199052510004
kaydasheva_s001082,0.0,11.0598125,corpus,-46.93024200384268,-48.81500153229615,16.714959188763153,4.362523700824491
kaydasheva_s001072,0.0,17.6098125,corpus,-48.67923942362294,-52.55155303261497,16.68683091582569,8.405709386410992
kaydasheva_s002213,0.0,14.0758125,corpus,-47.19929643110795,-46.76253749356412,16.506983301773694,10.729658517995734
kaydasheva_s000129,0.0,9.4218125,corpus,-47.38235635615711,-48.692598819732666,16.506983301773694,12.29652072894785
kaydasheva_s001374,0.0,17.5648125,corpus,-47.44121049259681,-49.176480782998574,15.98012497890807,14.865364740058777
kaydasheva_s001692,0.0,9.9638125,corpus,-47.303765844628515,-50.76984211042816,15.422532706280561,15.338487117261243
kaydasheva_s000221,0.0,6.2008125,corpus,-42.63553112399194,-48.147858986487755,15.37970827271288,11.303144969938739
kaydasheva_s001665,0.0,14.9768125,corpus,-48.288681784045394,-50.20132279168992,15.18801038786679,21.372017059251835
kaydasheva_s002208,0.0,13.1698125,corpus,-44.89377194855733,-46.06268698709053,14.9612737368783,14.754774294954268
kaydasheva_s000503,0.0,11.9598125,corpus,-45.47974041074415,-47.05861759185791,14.900996151259097,15.755460093505484
kaydasheva_s000408,0.0,6.8798125,corpus,-43.217827375545056,-47.252388970893726,14.469310951583434,18.204740555337313
kaydasheva_s001118,0.0,5.9298125,corpus,-41.99612009907251,-45.31637058258057,13.97962123526601,23.657052341193275
kaydasheva_s001410,0.0,13.6778125,corpus,-45.85158819901316,-47.740039184570314,13.860108164202908,16.68275754083301
kaydasheva_s000186,0.0,8.9098125,corpus,-46.04989565796858,-50.70812723234102,13.510529867843259,21.4471621743744
kaydasheva_s001278,0.0,13.89775,corpus,-47.56439410971223,-49.257166717529294,13.38457828940805,14.032329789726546
kaydasheva_s002267,0.0,7.6868125,corpus,-43.86581599479844,-45.54887880597796,13.253089567311237,17.620646643126058
kaydasheva_s000986,0.0,16.4498125,corpus,-44.809816679331306,-47.201441733563534,13.037646696798237,17.1608230388913
kaydasheva_s002128,0.0,9.3818125,corpus,-46.00806236673774,-49.03881726582845,13.037646696798237,16.824429511641206
kaydasheva_s000002,0.0,8.6398125,corpus,-46.05798791956018,-53.12327867395737,13.037642561022773,21.425853005957954
kaydasheva_s001043,0.0,11.5478125,corpus,-49.737094155844154,-53.45088446342339,12.896655762556708,20.585483246788044
kaydasheva_s001703,0.0,14.93175,corpus,-47.88368113697254,-48.42528241021292,12.85962236290387,8.02316116022964
kaydasheva_s001239,0.0,10.0098125,corpus,-45.130997908341655,-47.573069545200894,12.766597533957599,11.570455658992007
kaydasheva_s000626,0.0,12.1698125,corpus,-45.788930900780606,-49.271559643144364,12.699019610799251,17.13132822554505
kaydasheva_s000091,0.0,12.51675,corpus,-44.34374063997604,-45.83496573096827,12.546612797982798,9.240884495783861
kaydasheva_s002252,0.0,19.3998125,corpus,-47.42630879510309,-50.19105120470924,12.523352967132762,18.154422318113916
kaydasheva_s001227,0.0,17.3398125,corpus,-49.634488538062286,-52.398692306518555,12.490994105506742,10.744057582666859
kaydasheva_s000270,0.0,6.0698125,corpus,-40.47800401565074,-50.06886601448059,12.448684862011902,14.843260846618696
kaydasheva_s000629,0.0,15.8198125,corpus,-45.71886852085967,-47.450674305117225,12.280108400307927,15.907003962952272
kaydasheva_s000814,0.0,14.09575,corpus,-44.792386968085104,-46.935178565979,11.974607917574895,18.68414401429115
kaydasheva_s001394,0.0,7.87275,corpus,-43.40568416454892,-46.75422844519982,11.57953352718027,16.46319420211542
kaydasheva_s000501,0.0,6.9188125,corpus,-49.84110255599711,-60.63592454661494,11.510221089040346,12.560502624473303
kaydasheva_s000558,0.0,7.6048125,corpus,-44.76081414473684,-48.014463835496166,11.447424279414612,15.062437515918282
kaydasheva_s000029,0.0,11.87575,corpus,-44.8329946601431,-47.499223630452896,11.23680615821217,16.373001861080095
kaydasheva_s001739,0.0,10.6098125,corpus,-50.25311837299717,-53.32437159938197,11.23680615821217,2.8958324907168524
kaydasheva_s000618,0.0,12.6098125,corpus,-45.240809005749405,-45.18567634078691,11.078826651798762,16.377982454452486
kaydasheva_s000064,0.0,8.8498125,corpus,-46.52168520480226,-49.23774708522839,11.05617632114848,7.04539210930772
kaydasheva_s002233,0.0,10.1018125,corpus,-47.41479347153465,-51.84333843655057,10.934194139845376,14.423545675166938
kaydasheva_s001907,0.0,5.7868125,corpus,-44.668471367659755,-52.272031211853026,10.792744314549843,16.622425815432607
kaydasheva_s001312,0.0,18.1198125,corpus,-50.97232426186534,-51.765992136834896,10.64743221455718,3.6461011065356175
kaydasheva_s001640,0.0,15.3898125,corpus,-44.994603841780375,-46.81792560545336,10.628980342138776,19.695521524144137
kaydasheva_s001079,0.0,13.0598125,corpus,-42.81595759954058,-43.97760650910527,10.611527721194696,19.394136553256786
kaydasheva_s000478,0.0,16.3238125,corpus,-44.24718041513481,-46.15094082976041,10.506757924461706,17.88924459604077
kaydasheva_s001433,0.0,15.5818125,corpus,-46.21212592265725,-49.76364420354366,10.486486700717348,19.952482681822378
kaydasheva_s000298,0.0,16.2798125,corpus,-46.6496851965602,-47.95338442853389,10.48610960688457,10.339088067814032
kaydasheva_s000338,0.0,12.9798125,corpus,-46.891010208012325,-48.38776876795011,10.334150415857257,15.590612487240808
kaydasheva_s000885,0.0,11.0698125,corpus,-49.644915876242095,-52.46485230092252,9.994685659325544,20.14731375052019
kaydasheva_s000717,0.0,8.9898125,corpus,-46.900079949944384,-52.36951279941994,9.926433079181027,25.008978864487126
kaydasheva_s001700,0.0,7.5888125,corpus,-43.22740139163373,-47.01722743464451,9.915239616544863,5.198686220871766
kaydasheva_s002133,0.0,12.2198125,corpus,-47.95300352905074,-50.86894440284142,9.879764786047676,20.180732513992115
kaydasheva_s001947,0.0,15.0298125,corpus,-44.83478355788423,-46.20825294126947,9.79517486041761,14.062765176360381
kaydasheva_s002261,0.0,7.5498125,corpus,-42.92767228890728,-46.75408914354112,9.784674195102426,17.37670660446974
kaydasheva_s001504,0.0,6.85075,corpus,-43.509885378649635,-48.34950945670145,9.568305956047318,15.575705204743809
kaydasheva_s002188,0.0,7.3758125,corpus,-48.0345687245935,-50.72017729723895,9.523327213303588,7.602987357993426
kaydasheva_s000233,0.0,8.3398125,corpus,-46.24631388639089,-49.60289941985032,9.361959108909048,14.474090379356035
kaydasheva_s001117,0.0,4.4588125,corpus,-39.1609620235426,-46.150275639125276,9.214656689043982,13.60659801408642
kaydasheva_s000277,0.0,6.2698125,corpus,-40.725618645334926,-46.7090648651123,9.181224405605652,16.129411952736877
kaydasheva_s000719,0.0,10.73475,corpus,-45.85314975535881,-49.76215461584238,9.120223750112315,20.168906976403658
kaydasheva_s001480,0.0,16.9398125,corpus,-44.13069565377804,-45.93150629663164,8.993941153172045,20.281067374813677
kaydasheva_s001965,0.0,9.9478125,corpus,-47.043714667085425,-51.246331619889766,8.98265635542079,7.670191493005694
kaydasheva_s001895,0.0,13.23475,corpus,-46.6632741638322,-48.999277760432314,8.676118088882165,12.606508800763581
kaydasheva_s000180,0.0,16.1868125,corpus,-45.192253126930204,-47.040122545682465,8.673055973945656,13.434940981208518
kaydasheva_s000593,0.0,10.7098125,corpus,-45.558692226890756,-49.479690752531354,8.666633568553468,16.375566433122525
kaydasheva_s001005,0.0,8.0488125,corpus,-42.56818225931677,-45.33777214853387,8.606797523145554,17.78090915448591
kaydasheva_s001216,0.0,19.4828125,corpus,-50.69565339450719,-53.42675537162727,8.547090147630604,6.961412283266922
kaydasheva_s001116,0.0,12.3768125,corpus,-43.890028650040385,-46.21449997498817,8.530505811000245,20.16894980274603
kaydasheva_s000079,0.0,5.27175,corpus,-42.709417990986715,-46.9031982421875,8.52750290666695,13.27810700531461
kaydasheva_s001204,0.0,13.4828125,corpus,-45.53495340318991,-47.701891411351795,8.515554139208417,17.290393494645276
kaydasheva_s000819,0.0,15.1598125,corpus,-46.17143696405013,-47.45504052488954,8.492969891259376,18.917151761766046
kaydasheva_s000251,0.0,10.7398125,corpus,-42.617394814944134,-45.712385940551755,8.490516595901354,18.82736256658464
kaydasheva_s000842,0.0,8.9698125,corpus,-49.62868851031215,-52.359604106229895,8.4434228822796,13.442259810708732
kaydasheva_s000856,0.0,13.4398125,corpus,-48.156212216331845,-50.773144285557635,8.399044183396512,17.670078151273223
kaydasheva_s000620,0.0,12.1008125,corpus,-45.98443633780992,-48.4689129076506,8.39903451530255,14.463784612614054
kaydasheva_s000348,0.0,7.6878125,corpus,-39.339734537548765,-42.666455534637954,8.314016823729768,17.2849241256677
kaydasheva_s001835,0.0,15.2368125,corpus,-46.057891445209975,-47.86901100822117,8.311981656808829,8.941061707419594
kaydasheva_s000075,0.0,10.4818125,corpus,-41.19840991770038,-44.04625721466847,8.294078764986608,16.2668931388415
kaydasheva_s000730,0.0,3.8598125,corpus,-42.58244110265544,-57.68671131134033,8.230931969984255,14.569825409520273
kaydasheva_s001672,0.0,16.8398125,corpus,-46.773804000890735,-49.39769861102104,8.193107530496198,18.447846534510642
kaydasheva_s000139,0.0,6.9298125,corpus,-44.102808216089464,-50.92203029833342,8.19309260972393,23.43339144363938
kaydasheva_s000910,0.0,3.9898125,corpus,-41.798015546679196,-49.1452462569527,8.180569246169403,22.503903968756276
kaydasheva_s000425,0.0,5.4698125,corpus,-42.78954453267824,-49.17812117751764,8.180567178281672,18.62184364763234
kaydasheva_s002114,0.0,8.0458125,corpus,-42.64159549689441,-46.409517958357526,8.159043712215212,17.727603767962556
kaydasheva_s001675,0.0,8.8348125,corpus,-44.377596793601356,-49.10705237192651,8.120296348988715,15.39020642657645
kaydasheva_s000916,0.0,11.0808125,corpus,-44.1755027357852,-46.08048504420689,8.11246989750646,16.489290987035577
kaydasheva_s000058,0.0,11.2798125,corpus,-46.97051266068262,-49.45837674822126,8.065768819611192,11.558840066190605
kaydasheva_s000605,0.0,2.57875,corpus,-39.159565770348834,-58.484921010335285,8.047539699845093,8.02185562638114
kaydasheva_s001318,0.0,10.7198125,corpus,-46.291121297807834,-49.242598172997226,7.99351598214538,7.0086983638811375
